time,open,high,low,close,volume,return
2019-10-07,20.52,20.67,20.05,20.05,2371810,
2019-10-08,20.05,20.3,19.94,20.27,1337220,0.010972568578553554
2019-10-09,20.34,20.59,20.16,20.38,937530,0.005426739023187022
2019-10-10,20.45,20.59,20.38,20.38,808000,0.0
2019-10-11,20.48,20.56,20.38,20.41,794420,0.0014720314033367377
2019-10-14,20.59,21.03,20.52,20.85,2231030,0.02155805977462033
2019-10-15,20.88,20.88,20.74,20.74,663910,-0.005275779376498924
2019-10-16,20.88,20.95,20.74,20.77,829050,0.0014464802314368974
2019-10-17,20.74,20.77,20.45,20.48,1621590,-0.013962445835339343
2019-10-18,20.52,20.81,20.45,20.63,1447340,0.00732421875
2019-10-21,20.74,20.74,20.34,20.41,1260490,-0.010664081434803574
2019-10-22,20.41,20.45,20.12,20.34,1534380,-0.003429691327780482
2019-10-23,20.23,20.59,20.23,20.38,747810,0.001966568338249708
2019-10-24,20.52,21.03,20.38,21.03,2233890,0.03189401373895984
2019-10-25,21.06,21.14,20.85,20.95,1355310,-0.003804089396100885
2019-10-28,20.95,21.24,20.88,20.99,1494820,0.0019093078758949389
2019-10-29,21.03,21.06,20.88,20.92,953020,-0.0033349213911384457
2019-10-30,20.92,20.99,20.81,20.88,1102070,-0.0019120458891014325
2019-10-31,20.95,21.21,20.88,20.92,1263390,0.0019157088122607746
2019-11-01,20.95,21.21,20.81,21.14,1732950,0.010516252390057268
2019-11-04,21.21,21.86,21.21,21.64,5811560,0.023651844843897818
2019-11-05,21.71,21.71,21.46,21.6,1239520,-0.001848428835489746
2019-11-06,21.6,21.82,21.5,21.5,1551610,-0.00462962962962965
2019-11-07,21.5,21.64,21.39,21.5,1438030,0.0
2019-11-08,21.6,21.6,21.39,21.53,1219540,0.0013953488372093759
2019-11-11,21.57,21.89,21.5,21.68,2180490,0.0069670227589408995
2019-11-12,21.68,22.15,21.68,22.04,2842650,0.016605166051660403
2019-11-13,22.11,22.15,21.86,21.86,1333940,-0.008166969147005432
2019-11-14,21.86,22.04,20.77,21.06,4799390,-0.036596523330283626
2019-11-15,21.06,21.24,20.85,21.17,2568040,0.005223171889838785
2019-11-18,21.1,21.24,20.63,20.77,2794920,-0.018894662257912254
2019-11-19,20.77,21.06,20.77,21.06,1059770,0.013962445835339343
2019-11-20,21.03,21.03,20.45,20.52,2291760,-0.02564102564102555
2019-11-21,20.52,20.63,20.2,20.23,3303950,-0.014132553606237774
2019-11-22,20.34,20.63,20.05,20.23,1625820,0.0
2019-11-25,20.27,20.59,20.16,20.45,1087990,0.010874938210578389
2019-11-26,20.59,20.67,20.52,20.63,968690,0.008801955990219934
2019-11-27,20.67,20.74,20.56,20.59,812280,-0.0019389238972370437
2019-11-28,20.56,20.56,20.16,20.23,1370820,-0.01748421563865954
2019-11-29,20.23,20.52,20.16,20.38,739370,0.007414730598121588
2019-12-02,20.41,20.41,19.73,19.73,1992380,-0.031894013738959726
2019-12-03,19.58,19.94,19.26,19.69,1619120,-0.0020273694880891258
2019-12-04,19.69,20.05,19.51,20.02,932130,0.016759776536312776
2019-12-05,20.05,20.16,19.8,19.83,1144000,-0.009490509490509558
2019-12-06,19.87,20.02,19.76,19.87,556160,0.0020171457387798686
2019-12-09,19.94,20.16,19.87,19.98,700960,0.005535983895319507
2019-12-10,19.98,20.16,19.8,20.05,797100,0.003503503503503591
2019-12-11,20.05,20.45,19.94,20.41,877960,0.017955112219451452
2019-12-12,20.52,20.67,20.48,20.59,942410,0.00881920627143562
2019-12-13,20.67,20.77,20.56,20.63,1681700,0.0019426906265176402
2019-12-16,20.63,20.63,20.38,20.41,968130,-0.010664081434803574
2019-12-17,20.3,20.38,19.91,20.02,2211360,-0.019108280254777066
2019-12-18,20.02,20.23,19.87,20.05,1022490,0.0014985014985016143
2019-12-19,20.05,20.3,20.02,20.16,817820,0.005486284289276888
2019-12-20,20.23,20.48,20.16,20.41,777100,0.012400793650793718
2019-12-23,20.56,20.59,20.23,20.27,766000,-0.006859382655561075
2019-12-24,20.38,20.41,20.27,20.38,692100,0.005426739023187022
2019-12-25,20.38,20.92,20.38,20.77,1604350,0.019136408243375813
2019-12-26,20.88,20.99,20.74,20.74,1124500,-0.001444390948483476
2019-12-27,20.74,20.88,20.52,20.81,1004860,0.0033751205400192053
2019-12-30,20.88,21.28,20.81,21.17,2881060,0.01729937530033654
2019-12-31,21.17,21.21,20.95,21.06,689030,-0.0051960321209260085
2020-01-02,21.06,21.32,20.95,21.17,896720,0.005223171889838785
2020-01-03,21.28,21.35,20.74,20.81,2047880,-0.017005196032121028
2020-01-06,20.63,20.81,20.52,20.59,1091660,-0.01057184046131665
2020-01-07,20.7,20.99,20.59,20.99,837240,0.01942690626517729
2020-01-08,20.77,20.85,20.52,20.52,1814290,-0.022391615054787928
2020-01-09,20.7,20.85,20.63,20.81,967050,0.014132553606237774
2020-01-10,20.77,20.88,20.63,20.77,1018650,-0.001922152811148492
2020-01-13,20.74,20.81,20.59,20.63,786760,-0.006740491092922518
2020-01-14,20.63,20.74,20.59,20.59,721680,-0.0019389238972370437
2020-01-15,20.59,20.63,20.52,20.59,940870,0.0
2020-01-16,20.59,21.03,20.59,20.95,1942970,0.01748421563865943
2020-01-17,20.95,20.99,20.59,20.81,1388810,-0.006682577565632508
2020-01-20,20.77,20.95,20.67,20.74,1227100,-0.0033637674195098333
2020-01-21,20.88,20.95,20.05,20.05,4351820,-0.0332690453230472
2020-01-22,19.87,20.41,19.76,20.41,3165650,0.017955112219451452
2020-01-30,19.98,20.16,19.47,19.76,2638460,-0.031847133757961665
2020-01-31,19.51,19.83,18.79,18.79,4118150,-0.04908906882591102
2020-02-03,17.92,18.97,17.7,18.61,3602970,-0.009579563597658325
2020-02-04,18.93,18.93,18.43,18.71,1651440,0.005373455131649774
2020-02-05,18.9,19.08,18.79,18.79,1648620,0.00427578834847675
2020-02-06,18.97,19.36,18.71,19.36,1708550,0.030335284725917955
2020-02-07,19.15,19.33,19.08,19.26,1218660,-0.005165289256198191
2020-02-10,18.93,19.15,18.82,19.0,738090,-0.013499480789200491
2020-02-11,19.11,19.4,19.04,19.36,1085380,0.0189473684210526
2020-02-12,19.44,19.76,19.4,19.55,1104870,0.009814049586776896
2020-02-13,19.55,19.69,19.4,19.62,1030570,0.003580562659846631
2020-02-14,19.55,19.69,19.51,19.69,884240,0.0035677879714577365
2020-02-17,19.73,19.73,19.51,19.58,726390,-0.00558659217877111
2020-02-18,19.65,20.23,19.62,20.23,1760940,0.03319713993871298
2020-02-19,20.2,20.3,20.05,20.12,681250,-0.005437469105289194
2020-02-20,20.27,20.38,20.05,20.16,780810,0.001988071570576455
2020-02-21,20.2,20.2,19.76,19.76,1458040,-0.01984126984126977
2020-02-24,19.18,19.47,18.97,18.97,2261990,-0.03997975708502033
2020-02-25,18.82,19.51,18.79,19.51,1407720,0.028465998945703896
2020-02-26,19.29,19.94,19.15,19.87,3221270,0.018452075858534034
2020-02-27,19.87,20.41,19.73,20.23,2927040,0.018117765475591296
2020-02-28,19.87,20.12,19.73,19.91,2132200,-0.015818091942659485
2020-03-02,19.91,20.3,19.8,20.12,1787060,0.010547463586137562
2020-03-03,20.3,20.59,20.12,20.2,1193800,0.00397614314115291
2020-03-04,20.05,20.05,19.83,20.05,1660790,-0.007425742574257321
2020-03-05,20.05,20.2,19.73,19.73,1296450,-0.015960099750623402
2020-03-06,19.58,19.62,19.33,19.51,1305030,-0.01115053218449058
2020-03-09,18.5,18.79,18.17,18.17,4735140,-0.06868272680676579
2020-03-10,18.43,18.79,18.17,18.68,2030340,0.02806824435883315
2020-03-11,18.79,18.97,17.88,18.35,2753310,-0.017665952890792203
2020-03-12,17.56,17.81,17.09,17.38,3981670,-0.05286103542234344
2020-03-13,16.37,18.06,16.33,17.4,2919140,0.0011507479861909697
2020-03-16,17.4,17.96,17.16,17.2,1898960,-0.011494252873563204
2020-03-17,16.98,17.52,16.8,17.52,2474650,0.018604651162790642
2020-03-18,17.7,17.74,17.47,17.49,1642800,-0.00171232876712335
2020-03-19,17.2,17.38,17.2,17.23,1296590,-0.014865637507146867
2020-03-20,17.41,17.43,17.11,17.23,1291360,0.0
2020-03-23,16.66,16.94,16.04,16.04,2826690,-0.06906558328496815
2020-03-24,16.26,16.26,15.72,16.08,2191500,0.0024937655860348684
2020-03-25,16.62,16.76,16.31,16.62,2131790,0.03358208955223896
2020-03-26,16.44,16.56,15.97,15.97,2358310,-0.03910950661853185
2020-03-27,16.04,16.04,15.5,15.57,2633750,-0.02504696305572951
2020-03-30,14.63,14.85,14.49,14.6,2157690,-0.06229929351316643
2020-03-31,15.03,15.32,14.49,14.85,1663050,0.017123287671232834
2020-04-01,14.74,15.61,14.74,15.28,1453030,0.028956228956228847
2020-04-03,15.54,16.13,15.43,16.11,2072000,0.05431937172774859
2020-04-06,16.62,17.16,16.44,17.16,2718990,0.06517690875232773
2020-04-07,17.16,17.23,16.8,17.09,2463810,-0.004079254079254135
